x오차: -0.00467  y오차: -0.00677  z오차: -0.07300  거리: 0.07346
x오차: -0.00456  y오차: -0.00674  z오차: -0.07210  거리: 0.07256
x오차: -0.00446  y오차: -0.00671  z오차: -0.07122  거리: 0.07167
x오차: -0.00435  y오차: -0.00669  z오차: -0.07035  거리: 0.07080
x오차: -0.00425  y오차: -0.00666  z오차: -0.06949  거리: 0.06993
x오차: -0.00414  y오차: -0.00663  z오차: -0.06863  거리: 0.06908
x오차: -0.00404  y오차: -0.00660  z오차: -0.06779  거리: 0.06823
x오차: -0.00394  y오차: -0.00658  z오차: -0.06696  거리: 0.06740
x오차: -0.00384  y오차: -0.00655  z오차: -0.06615  거리: 0.06658
x오차: -0.00374  y오차: -0.00652  z오차: -0.06534  거리: 0.06577
x오차: -0.00364  y오차: -0.00650  z오차: -0.06454  거리: 0.06497
x오차: -0.00354  y오차: -0.00647  z오차: -0.06376  거리: 0.06418
x오차: -0.00344  y오차: -0.00644  z오차: -0.06298  거리: 0.06340
x오차: -0.00334  y오차: -0.00641  z오차: -0.06222  거리: 0.06263
x오차: -0.00325  y오차: -0.00639  z오차: -0.06146  거리: 0.06188
x오차: -0.00316  y오차: -0.00636  z오차: -0.06072  거리: 0.06113
x오차: -0.00306  y오차: -0.00633  z오차: -0.05999  거리: 0.06040
x오차: -0.00297  y오차: -0.00631  z오차: -0.05926  거리: 0.05967
x오차: -0.00288  y오차: -0.00628  z오차: -0.05855  거리: 0.05896
x오차: -0.00279  y오차: -0.00625  z오차: -0.05785  거리: 0.05826
x오차: -0.00271  y오차: -0.00623  z오차: -0.05716  거리: 0.05757
x오차: -0.00262  y오차: -0.00620  z오차: -0.05649  거리: 0.05688
x오차: -0.00254  y오차: -0.00617  z오차: -0.05582  거리: 0.05621
x오차: -0.00246  y오차: -0.00614  z오차: -0.05516  거리: 0.05556
x오차: -0.00238  y오차: -0.00611  z오차: -0.05451  거리: 0.05491
x오차: -0.00230  y오차: -0.00609  z오차: -0.05387  거리: 0.05427
x오차: -0.00223  y오차: -0.00606  z오차: -0.05325  거리: 0.05364
x오차: -0.00216  y오차: -0.00603  z오차: -0.05263  거리: 0.05302
x오차: -0.00208  y오차: -0.00600  z오차: -0.05202  거리: 0.05240
x오차: -0.00201  y오차: -0.00597  z오차: -0.05141  거리: 0.05180
x오차: -0.00195  y오차: -0.00594  z오차: -0.05082  거리: 0.05120
x오차: -0.00188  y오차: -0.00591  z오차: -0.05023  거리: 0.05061
x오차: -0.00181  y오차: -0.00588  z오차: -0.04965  거리: 0.05003
x오차: -0.00175  y오차: -0.00585  z오차: -0.04907  거리: 0.04945
x오차: -0.00168  y오차: -0.00582  z오차: -0.04851  거리: 0.04888
x오차: -0.00162  y오차: -0.00579  z오차: -0.04795  거리: 0.04832
x오차: -0.00156  y오차: -0.00576  z오차: -0.04739  거리: 0.04777
x오차: -0.00150  y오차: -0.00573  z오차: -0.04685  거리: 0.04722
x오차: -0.00144  y오차: -0.00570  z오차: -0.04630  거리: 0.04668
x오차: -0.00138  y오차: -0.00567  z오차: -0.04577  거리: 0.04614
x오차: -0.00132  y오차: -0.00564  z오차: -0.04524  거리: 0.04561
x오차: -0.00126  y오차: -0.00561  z오차: -0.04471  거리: 0.04508
x오차: -0.00120  y오차: -0.00558  z오차: -0.04420  거리: 0.04456
x오차: -0.00114  y오차: -0.00556  z오차: -0.04368  거리: 0.04405
x오차: -0.00108  y오차: -0.00553  z오차: -0.04318  거리: 0.04354
x오차: -0.00103  y오차: -0.00550  z오차: -0.04268  거리: 0.04304
x오차: -0.00097  y오차: -0.00547  z오차: -0.04218  거리: 0.04254
x오차: -0.00091  y오차: -0.00544  z오차: -0.04169  거리: 0.04205
x오차: -0.00086  y오차: -0.00541  z오차: -0.04120  거리: 0.04156
x오차: -0.00080  y오차: -0.00539  z오차: -0.04072  거리: 0.04108
x오차: -0.00074  y오차: -0.00536  z오차: -0.04025  거리: 0.04061
x오차: -0.00069  y오차: -0.00533  z오차: -0.03977  거리: 0.04014
x오차: -0.00063  y오차: -0.00530  z오차: -0.03931  거리: 0.03967
x오차: -0.00058  y오차: -0.00528  z오차: -0.03885  거리: 0.03921
x오차: -0.00053  y오차: -0.00525  z오차: -0.03839  거리: 0.03875
x오차: -0.00047  y오차: -0.00522  z오차: -0.03794  거리: 0.03830
x오차: -0.00042  y오차: -0.00520  z오차: -0.03749  거리: 0.03785
x오차: -0.00037  y오차: -0.00517  z오차: -0.03705  거리: 0.03741
x오차: -0.00031  y오차: -0.00514  z오차: -0.03661  거리: 0.03697
x오차: -0.00026  y오차: -0.00512  z오차: -0.03618  거리: 0.03654
x오차: -0.00021  y오차: -0.00509  z오차: -0.03575  거리: 0.03611
x오차: -0.00016  y오차: -0.00507  z오차: -0.03533  거리: 0.03569
x오차: -0.00011  y오차: -0.00504  z오차: -0.03491  거리: 0.03527
x오차: -0.00005  y오차: -0.00502  z오차: -0.03449  거리: 0.03485
x오차: -0.00000  y오차: -0.00499  z오차: -0.03408  거리: 0.03444
x오차: 0.00005  y오차: -0.00497  z오차: -0.03367  거리: 0.03404
x오차: 0.00010  y오차: -0.00494  z오차: -0.03327  거리: 0.03363
x오차: 0.00015  y오차: -0.00492  z오차: -0.03287  거리: 0.03324
x오차: 0.00020  y오차: -0.00489  z오차: -0.03248  거리: 0.03284
x오차: 0.00024  y오차: -0.00487  z오차: -0.03209  거리: 0.03245
x오차: 0.00029  y오차: -0.00485  z오차: -0.03170  거리: 0.03207
x오차: 0.00034  y오차: -0.00482  z오차: -0.03132  거리: 0.03169
x오차: 0.00039  y오차: -0.00480  z오차: -0.03094  거리: 0.03131
x오차: 0.00044  y오차: -0.00478  z오차: -0.03056  거리: 0.03094
x오차: 0.00048  y오차: -0.00475  z오차: -0.03019  거리: 0.03057
x오차: 0.00053  y오차: -0.00473  z오차: -0.02982  거리: 0.03020
x오차: 0.00058  y오차: -0.00471  z오차: -0.02946  거리: 0.02984
x오차: 0.00062  y오차: -0.00468  z오차: -0.02910  거리: 0.02948
x오차: 0.00067  y오차: -0.00466  z오차: -0.02874  거리: 0.02913
x오차: 0.00072  y오차: -0.00464  z오차: -0.02839  거리: 0.02878
x오차: 0.00076  y오차: -0.00462  z오차: -0.02804  거리: 0.02843
x오차: 0.00081  y오차: -0.00460  z오차: -0.02770  거리: 0.02809
x오차: 0.00085  y오차: -0.00457  z오차: -0.02736  거리: 0.02775
x오차: 0.00089  y오차: -0.00455  z오차: -0.02702  거리: 0.02741
x오차: 0.00094  y오차: -0.00453  z오차: -0.02668  거리: 0.02708
x오차: 0.00098  y오차: -0.00451  z오차: -0.02635  거리: 0.02675
x오차: 0.00102  y오차: -0.00449  z오차: -0.02602  거리: 0.02643
x오차: 0.00107  y오차: -0.00447  z오차: -0.02570  거리: 0.02611
x오차: 0.00111  y오차: -0.00445  z오차: -0.02538  거리: 0.02579
x오차: 0.00115  y오차: -0.00443  z오차: -0.02506  거리: 0.02547
x오차: 0.00119  y오차: -0.00441  z오차: -0.02475  거리: 0.02516
x오차: 0.00123  y오차: -0.00439  z오차: -0.02443  거리: 0.02486
x오차: 0.00128  y오차: -0.00437  z오차: -0.02413  거리: 0.02455
x오차: 0.00132  y오차: -0.00435  z오차: -0.02382  거리: 0.02425
x오차: 0.00136  y오차: -0.00433  z오차: -0.02352  거리: 0.02395
x오차: 0.00140  y오차: -0.00431  z오차: -0.02322  거리: 0.02366
x오차: 0.00144  y오차: -0.00429  z오차: -0.02292  거리: 0.02336
x오차: 0.00148  y오차: -0.00427  z오차: -0.02263  거리: 0.02308
x오차: 0.00151  y오차: -0.00425  z오차: -0.02234  거리: 0.02279
x오차: 0.00155  y오차: -0.00423  z오차: -0.02205  거리: 0.02251
x오차: 0.00159  y오차: -0.00421  z오차: -0.02177  거리: 0.02223
x오차: 0.00163  y오차: -0.00419  z오차: -0.02149  거리: 0.02195
x오차: 0.00167  y오차: -0.00418  z오차: -0.02121  거리: 0.02168
x오차: 0.00170  y오차: -0.00416  z오차: -0.02093  거리: 0.02141
x오차: 0.00174  y오차: -0.00414  z오차: -0.02066  거리: 0.02114
x오차: 0.00178  y오차: -0.00412  z오차: -0.02039  거리: 0.02088
x오차: 0.00181  y오차: -0.00410  z오차: -0.02012  거리: 0.02062
x오차: 0.00185  y오차: -0.00409  z오차: -0.01986  거리: 0.02036
x오차: 0.00189  y오차: -0.00407  z오차: -0.01960  거리: 0.02010
x오차: 0.00192  y오차: -0.00405  z오차: -0.01934  거리: 0.01985
x오차: 0.00196  y오차: -0.00403  z오차: -0.01908  거리: 0.01960
x오차: 0.00199  y오차: -0.00402  z오차: -0.01883  거리: 0.01935
x오차: 0.00203  y오차: -0.00400  z오차: -0.01858  거리: 0.01911
x오차: 0.00206  y오차: -0.00398  z오차: -0.01833  거리: 0.01887
x오차: 0.00209  y오차: -0.00397  z오차: -0.01808  거리: 0.01863
x오차: 0.00213  y오차: -0.00395  z오차: -0.01784  거리: 0.01839
x오차: 0.00216  y오차: -0.00393  z오차: -0.01760  거리: 0.01816
x오차: 0.00219  y오차: -0.00392  z오차: -0.01736  거리: 0.01793
x오차: 0.00222  y오차: -0.00390  z오차: -0.01712  거리: 0.01770
x오차: 0.00226  y오차: -0.00388  z오차: -0.01689  거리: 0.01748
x오차: 0.00229  y오차: -0.00387  z오차: -0.01666  거리: 0.01725
x오차: 0.00232  y오차: -0.00385  z오차: -0.01643  거리: 0.01703
x오차: 0.00235  y오차: -0.00383  z오차: -0.01620  거리: 0.01681
x오차: 0.00238  y오차: -0.00382  z오차: -0.01598  거리: 0.01660
x오차: 0.00241  y오차: -0.00380  z오차: -0.01576  거리: 0.01639
x오차: 0.00244  y오차: -0.00379  z오차: -0.01554  거리: 0.01618
x오차: 0.00247  y오차: -0.00377  z오차: -0.01532  거리: 0.01597
x오차: 0.00250  y오차: -0.00376  z오차: -0.01510  거리: 0.01576
x오차: 0.00253  y오차: -0.00374  z오차: -0.01489  거리: 0.01556
x오차: 0.00256  y오차: -0.00373  z오차: -0.01468  거리: 0.01536
x오차: 0.00259  y오차: -0.00371  z오차: -0.01447  거리: 0.01516
x오차: 0.00262  y오차: -0.00370  z오차: -0.01426  거리: 0.01496
x오차: 0.00265  y오차: -0.00368  z오차: -0.01406  거리: 0.01477
x오차: 0.00267  y오차: -0.00367  z오차: -0.01385  거리: 0.01458
x오차: 0.00270  y오차: -0.00365  z오차: -0.01365  거리: 0.01439
x오차: 0.00273  y오차: -0.00364  z오차: -0.01346  거리: 0.01420
x오차: 0.00276  y오차: -0.00362  z오차: -0.01326  거리: 0.01402
x오차: 0.00278  y오차: -0.00361  z오차: -0.01306  거리: 0.01384
x오차: 0.00281  y오차: -0.00360  z오차: -0.01287  거리: 0.01366
x오차: 0.00284  y오차: -0.00358  z오차: -0.01268  거리: 0.01348
x오차: 0.00286  y오차: -0.00357  z오차: -0.01249  거리: 0.01330
x오차: 0.00289  y오차: -0.00355  z오차: -0.01231  거리: 0.01313
x오차: 0.00291  y오차: -0.00354  z오차: -0.01212  거리: 0.01296
x오차: 0.00294  y오차: -0.00353  z오차: -0.01194  거리: 0.01279
x오차: 0.00296  y오차: -0.00351  z오차: -0.01176  거리: 0.01262
x오차: 0.00299  y오차: -0.00350  z오차: -0.01158  거리: 0.01246
x오차: 0.00301  y오차: -0.00349  z오차: -0.01140  거리: 0.01230
x오차: 0.00304  y오차: -0.00347  z오차: -0.01123  거리: 0.01214
x오차: 0.00306  y오차: -0.00346  z오차: -0.01106  거리: 0.01198
x오차: 0.00308  y오차: -0.00345  z오차: -0.01090  거리: 0.01184
x오차: 0.00309  y오차: -0.00344  z오차: -0.01074  거리: 0.01170
x오차: -0.01478  y오차: 0.00178  z오차: -0.24736  거리: 0.24780
x오차: -0.01475  y오차: 0.00177  z오차: -0.24727  거리: 0.24772
x오차: -0.01470  y오차: 0.00174  z오차: -0.24715  거리: 0.24759
x오차: -0.01465  y오차: 0.00170  z오차: -0.24699  거리: 0.24743
x오차: -0.01458  y오차: 0.00165  z오차: -0.24680  거리: 0.24723
x오차: -0.01452  y오차: 0.00157  z오차: -0.24657  거리: 0.24700
x오차: -0.01445  y오차: 0.00147  z오차: -0.24630  거리: 0.24673
x오차: -0.01437  y오차: 0.00135  z오차: -0.24600  거리: 0.24643
x오차: -0.01430  y오차: 0.00120  z오차: -0.24567  거리: 0.24608
x오차: -0.01421  y오차: 0.00103  z오차: -0.24529  거리: 0.24571
x오차: -0.01412  y오차: 0.00084  z오차: -0.24489  거리: 0.24530
x오차: -0.01403  y오차: 0.00063  z오차: -0.24444  거리: 0.24485
x오차: -0.01393  y오차: 0.00039  z오차: -0.24397  거리: 0.24436
x오차: -0.01383  y오차: 0.00014  z오차: -0.24345  거리: 0.24384
x오차: -0.01372  y오차: -0.00014  z오차: -0.24290  거리: 0.24329
x오차: -0.01360  y오차: -0.00043  z오차: -0.24231  거리: 0.24269
x오차: -0.01347  y오차: -0.00073  z오차: -0.24169  거리: 0.24206
x오차: -0.01333  y오차: -0.00105  z오차: -0.24103  거리: 0.24140
x오차: -0.01319  y오차: -0.00137  z오차: -0.24035  거리: 0.24071
x오차: -0.01306  y오차: -0.00170  z오차: -0.23964  거리: 0.24000
x오차: -0.01292  y오차: -0.00204  z오차: -0.23890  거리: 0.23926
x오차: -0.01279  y오차: -0.00237  z오차: -0.23815  거리: 0.23851
x오차: -0.01267  y오차: -0.00271  z오차: -0.23738  거리: 0.23773
x오차: -0.01255  y오차: -0.00305  z오차: -0.23659  거리: 0.23694
x오차: -0.01244  y오차: -0.00339  z오차: -0.23578  거리: 0.23613
x오차: -0.01233  y오차: -0.00372  z오차: -0.23495  거리: 0.23530
x오차: -0.01223  y오차: -0.00406  z오차: -0.23411  거리: 0.23446
x오차: -0.01213  y오차: -0.00439  z오차: -0.23324  거리: 0.23360
x오차: -0.01205  y오차: -0.00472  z오차: -0.23237  거리: 0.23273
x오차: -0.01196  y오차: -0.00505  z오차: -0.23147  거리: 0.23183
x오차: -0.01189  y오차: -0.00537  z오차: -0.23056  거리: 0.23093
x오차: -0.01182  y오차: -0.00570  z오차: -0.22963  거리: 0.23000
x오차: -0.01176  y오차: -0.00601  z오차: -0.22868  거리: 0.22906
x오차: -0.01170  y오차: -0.00633  z오차: -0.22772  거리: 0.22811
x오차: -0.01165  y오차: -0.00664  z오차: -0.22674  거리: 0.22714
x오차: -0.01160  y오차: -0.00695  z오차: -0.22574  거리: 0.22615
x오차: -0.01156  y오차: -0.00726  z오차: -0.22473  거리: 0.22514
x오차: -0.01152  y오차: -0.00757  z오차: -0.22370  거리: 0.22412
x오차: -0.01149  y오차: -0.00787  z오차: -0.22265  거리: 0.22309
x오차: -0.01146  y오차: -0.00816  z오차: -0.22159  거리: 0.22203
x오차: -0.01144  y오차: -0.00846  z오차: -0.22050  거리: 0.22096
x오차: -0.01142  y오차: -0.00875  z오차: -0.21941  거리: 0.21988
x오차: -0.01141  y오차: -0.00903  z오차: -0.21829  거리: 0.21877
x오차: -0.01140  y오차: -0.00932  z오차: -0.21716  거리: 0.21765
x오차: -0.01139  y오차: -0.00959  z오차: -0.21601  거리: 0.21652
x오차: -0.01139  y오차: -0.00987  z오차: -0.21484  거리: 0.21537
x오차: -0.01139  y오차: -0.01014  z오차: -0.21365  거리: 0.21420
x오차: -0.01139  y오차: -0.01041  z오차: -0.21245  거리: 0.21301
x오차: -0.01140  y오차: -0.01068  z오차: -0.21123  거리: 0.21181
x오차: -0.01141  y오차: -0.01094  z오차: -0.20999  거리: 0.21059
x오차: -0.01142  y오차: -0.01119  z오차: -0.20874  거리: 0.20935
x오차: -0.01143  y오차: -0.01144  z오차: -0.20747  거리: 0.20810
x오차: -0.01144  y오차: -0.01168  z오차: -0.20618  거리: 0.20682
x오차: -0.01146  y오차: -0.01191  z오차: -0.20487  거리: 0.20553
x오차: -0.01147  y오차: -0.01214  z오차: -0.20354  거리: 0.20423
x오차: -0.01148  y오차: -0.01235  z오차: -0.20220  거리: 0.20290
x오차: -0.01149  y오차: -0.01256  z오차: -0.20084  거리: 0.20156
x오차: -0.01151  y오차: -0.01276  z오차: -0.19946  거리: 0.20020
